"","Code Mimosa Corrigé","Economic reintegration Score","1_economic","2_food","3_borrow","4_borrow_freq","5_debt_ratio","6_employment","7_working","8_assets","9_searching_job","1_economic_n","2_food_n","3_borrow_n","4_borrow_freq_n","5_debt_ratio_n","6_employment_n","7_working_n","8_assets_n","9_searching_job_n","1_economic_dim_weight","1_economic_comp_weight","2_food_dim_weight","2_food_comp_weight","3_borrow_dim_weight","3_borrow_comp_weight","4_borrow_freq_dim_weight","4_borrow_freq_comp_weight","5_debt_ratio_dim_weight","5_debt_ratio_comp_weight","6_employment_dim_weight","6_employment_comp_weight","7_working_dim_weight","7_working_comp_weight","8_assets_dim_weight","8_assets_comp_weight","9_searching_job_dim_weight","9_searching_job_comp_weight","1_economic_dim_score","1_economic_comp_score","2_food_dim_score","2_food_comp_score","3_borrow_dim_score","3_borrow_comp_score","4_borrow_freq_dim_score","4_borrow_freq_comp_score","5_debt_ratio_dim_score","5_debt_ratio_comp_score","6_employment_dim_score","6_employment_comp_score","7_working_dim_score","7_working_comp_score","8_assets_dim_score","8_assets_comp_score","9_searching_job_dim_score","9_searching_job_comp_score","EconomicScore","Difference"
"40","LY1022002301",0.7675,"Neutre","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Jamais","La dette est plus grande","Faible","Non","Actifs reçus de l'OIM","Oui",0.5,0,0,1,0,0.25,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0,0,0,0,0.1,0.02,0,0,0.0325,0.0075,0,0,0.11,0.03,0,0,0.3175,-0.45
"41","LY1022002520",0.51,"Neutre","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Jamais",NA,"Faible","Oui","Aucun actif détenu","Non",0.5,0,0,1,0.5,0.25,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0,0,0,0,0.1,0.02,0.04,0.02,0.0325,0.0075,0.1,0.03,0,0,0.13,0.03,0.4775,-0.0325
"42","LY1022003542",0.785,"Satisafait","Jamais","Non","Jamais","Les dépenses sont plus importantes","Bien","Oui","Terre Bétails","Non",0.75,1,0,1,1,0.75,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.12,0.08,0,0,0.1,0.02,0.08,0.04,0.0975,0.0225,0.1,0.03,0.11,0.03,0.13,0.03,0.85,0.0650000000000001
"43","LY1022003675",0.4625,"Satisafait","Des fois ( 2 ou 3 fois le mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Oui","Aucun actif détenu","Non",0.75,0.5,1,0.75,1,0.25,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.06,0.04,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0.1,0.03,0,0,0.13,0.03,0.67,0.2075
"44","LY1022003747",0.8475,"Satisafait","Jamais","Je ne sait pas","Jamais","Les dépenses sont plus importantes","Acceptable","Oui","Terre","Non",0.75,1,0.5,1,1,0.5,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.12,0.08,0.04,0.01,0.1,0.02,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.8575,0.0099999999999999
"45","LY1022003792",0.85,"Satisafait","Des fois ( 2 ou 3 fois le mois)","Oui","Jamais","Les dépenses sont plus importantes","Acceptable","Oui","Terre Bâtiments et structures Actifs reçus de l'OIM","Oui",0.75,0.5,1,1,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.06,0.04,0.08,0.02,0.1,0.02,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.7075,-0.1425
"46","LY1022003996",0.5975,"Neutre","Rarement( Une fois le mois ou pas tous les mois)","Non","Jamais",NA,"Faible","Oui","Aucun actif détenu","Non",0.5,0.75,0,1,0.5,0.25,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.09,0.06,0,0,0.1,0.02,0.04,0.02,0.0325,0.0075,0.1,0.03,0,0,0.13,0.03,0.5675,-0.03
"47","LY1021004104",0.7225,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Non","Jamais","Les dépenses sont plus importantes","Très bien","Oui","Terre Actifs reçus de l'OIM","Oui",0.75,0.75,0,1,1,1,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0,0,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0,0,0.7225,0
"48","LY1022005127",0.2725,"Neutre","Souvent( au moins une fois la semaine)","Non","Jamais",NA,"Faible","Non","Aucun actif détenu","Oui",0.5,0.25,0,1,0.5,0.25,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.03,0.02,0,0,0.1,0.02,0.04,0.02,0.0325,0.0075,0,0,0,0,0,0,0.2775,0.005
"49","LY1021004097",0.6875,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Terre Bâtiments et structures Actifs reçus de l'OIM","Oui",0.75,0.75,1,0.5,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.6875,0
"50","MA1021003470",0.185,"Insatisfait","Souvent( au moins une fois la semaine)","Non","Jamais","Je souhaite ne pas répondre","Je ne sais pas","Oui","Aucun actif détenu","Non",0.25,0.25,0,1,0.5,0.5,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.0375,0.0125,0.03,0.02,0,0,0.1,0.02,0.04,0.02,0.065,0.015,0.1,0.03,0,0,0.13,0.03,0.5025,0.3175
"51","MA1022001187",0.3225,"Satisafait","Des fois ( 2 ou 3 fois le mois)","Non","Jamais","Les dépenses sont plus importantes","Faible","Oui","Je souhaite ne pas répondre","Oui",0.75,0.5,0,1,1,0.25,1,0.5,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.06,0.04,0,0,0.1,0.02,0.08,0.04,0.0325,0.0075,0.1,0.03,0.055,0.015,0,0,0.54,0.2175
"52","NE1021X051728",0.31,"Très insatisafait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Jamais","Les dépenses sont plus importantes","Très faible","Non","Je ne sais pas","Oui",0,0,0,1,1,0,0,0.5,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0,0,0,0,0,0,0.1,0.02,0.08,0.04,0,0,0,0,0.055,0.015,0,0,0.235,-0.0750000000000001
"53","NE1021X051730",0.65,"Neutre","Des fois ( 2 ou 3 fois le mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)",NA,"Très bien","Oui","Actifs reçus de l'OIM","Oui",0.5,0.5,1,0.75,0.5,1,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.06,0.04,0.08,0.02,0.075,0.015,0.04,0.02,0.13,0.03,0.1,0.03,0.11,0.03,0,0,0.67,0.0200000000000001
"54","NE1021X051842",0.5825,"Neutre","Souvent( au moins une fois la semaine)","Non","Jamais","La dette est plus grande","Très faible","Oui","Arbres ( fruits","Oui",0.5,0.25,0,1,0,0,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.03,0.02,0,0,0.1,0.02,0,0,0,0,0.1,0.03,0.11,0.03,0,0,0.415,-0.1675
"55","NE1022001129",0.4425,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Non","Aucun actif détenu","Oui",0.75,0.75,1,0.5,1,0.5,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0,0,0,0,0,0,0.4775,0.035
"56","NE1022001316",0.6025,"Satisafait","Souvent( au moins une fois la semaine)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Bétails","Non",0.75,0.25,1,0.75,1,0.5,0,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0.11,0.03,0.13,0.03,0.6825,0.08
"57","NE1022001316",0.6,"Satisafait","Souvent( au moins une fois la semaine)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Bétails","Non",0.75,0.25,1,0.75,1,0.5,0,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0.11,0.03,0.13,0.03,0.6825,0.0825
"58","NE1022001358",0.6325,"Très satisfait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Non","Équipement et outils","Non",1,0.75,1,0.75,1,0.25,0,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.15,0.05,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0,0,0.11,0.03,0.13,0.03,0.7475,0.115
"59","NE1022001358",0.6825,"Très satisfait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Non","Équipement et outils","Non",1,0.75,1,0.75,1,0.25,0,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.15,0.05,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0,0,0.11,0.03,0.13,0.03,0.7475,0.0650000000000001
"60","NE1022X000210",0.34,"Insatisfait","Jamais","Non","Jamais","Les dépenses sont plus importantes","Acceptable","Oui","Terre Actifs reçus de l'OIM","Oui",0.25,1,0,1,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.0375,0.0125,0.12,0.08,0,0,0.1,0.02,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.6125,0.2725
"61","NE1022X000846",0.67,"Satisafait","Souvent( au moins une fois la semaine)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Aucun actif détenu","Non",0.75,0.25,1,0.5,1,0.5,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0,0,0.13,0.03,0.6475,-0.0225000000000001
"62","NE1022X001122",0.3875,"Très satisfait","Rarement( Une fois le mois ou pas tous les mois)","Non","Jamais","La dette est plus grande","Faible","Oui","Actifs reçus de l'OIM","Oui",1,0.75,0,1,0,0.25,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.15,0.05,0.09,0.06,0,0,0.1,0.02,0,0,0.0325,0.0075,0.1,0.03,0.11,0.03,0,0,0.5825,0.195
"63","NE1022X001339",0.57,"Satisafait","Souvent( au moins une fois la semaine)","Oui","Souvent( au moins une fois la semaine)","Les dépenses sont plus importantes","Acceptable","Oui","Terre Actifs reçus de l'OIM","Non",0.75,0.25,1,0.25,1,0.5,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.03,0.02,0.08,0.02,0.025,0.005,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.7325,0.1625
"64","NE1022X002409",0.455,"Satisafait","Des fois ( 2 ou 3 fois le mois)","Oui","Jamais","Je souhaite ne pas répondre","Acceptable","Oui","Actifs reçus de l'OIM","Non",0.75,0.5,1,1,0.5,0.5,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.06,0.04,0.08,0.02,0.1,0.02,0.04,0.02,0.065,0.015,0.1,0.03,0.11,0.03,0.13,0.03,0.7975,0.3425
"65","NE1022X002626",0.455,"Neutre","Des fois ( 2 ou 3 fois le mois)","Oui","Des fois ( 2 ou 3 fois le mois)","Les dépenses sont plus importantes","Acceptable","Oui","Aucun actif détenu","Non",0.5,0.5,1,0.5,1,0.5,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.06,0.04,0.08,0.02,0.05,0.01,0.08,0.04,0.065,0.015,0.1,0.03,0,0,0.13,0.03,0.64,0.185
"66","NE1022X003003",0.545,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Terre","Non",0.75,0.75,1,0.75,1,0.5,0,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0.11,0.03,0.13,0.03,0.7425,0.1975
"67","NE1022X003621",0.775,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Faible","Oui","Équipement et outils","Non",0.75,0.75,1,0.75,1,0.25,1,1,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.0325,0.0075,0.1,0.03,0.11,0.03,0.13,0.03,0.81,0.0349999999999999
"68","NE1022X004298",0.7025,"Satisafait","Des fois ( 2 ou 3 fois le mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Aucun actif détenu","Non",0.75,0.5,1,0.75,1,0.5,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.06,0.04,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0,0,0.13,0.03,0.7025,0
"69","NE1022X004299",0.695,"Neutre","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Aucun actif détenu","Non",0.5,0.75,1,0.75,1,0.5,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.075,0.025,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0,0,0.13,0.03,0.695,0
"70","NE1022X004345",0.56,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Aucun actif détenu","Non",0.75,0.75,1,0.75,1,0.5,1,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0,0,0.13,0.03,0.7325,0.1725
"71","-",0.475,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Des fois ( 2 ou 3 fois le mois)","La dette est plus grande","Faible","Non","Actifs reçus de l'OIM","Oui",0.75,0.75,1,0.5,0,0.25,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.05,0.01,0,0,0.0325,0.0075,0,0,0.11,0.03,0,0,0.475,0
"72","-",0.3375,"Insatisfait","Des fois ( 2 ou 3 fois le mois)","Oui","Des fois ( 2 ou 3 fois le mois)","La dette est plus grande","Très faible","Non","Actifs reçus de l'OIM","Oui",0.25,0.5,1,0.5,0,0,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.0375,0.0125,0.06,0.04,0.08,0.02,0.05,0.01,0,0,0,0,0,0,0.11,0.03,0,0,0.3375,0
"73","TD1021001485",0.2625,"Satisafait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Non","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Aucun actif détenu Terre Actifs reçus de l'OIM","Oui",0.75,0,0,0.75,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0,0,0,0,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.5425,0.28
"74","TD1021001498",0.7125,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Oui","Actifs reçus de l'OIM Autre (veuillez préciser)","Oui",0.75,0.75,1,0.75,1,0.5,1,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0.1,0.03,0.11,0.03,0,0,0.7125,0
"75","TD1021001500",0.675,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Jamais","Les dépenses sont plus importantes","Acceptable","Non","Bétails Actifs reçus de l'OIM","Oui",0.75,0.75,1,1,1,0.5,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.1,0.02,0.08,0.04,0.065,0.015,0,0,0.11,0.03,0,0,0.6375,-0.0375000000000001
"76","TD1021001634",0.6025,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Non","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Très faible","Non","Actifs reçus de l'OIM","Oui",0.75,0.75,0,0.75,1,0,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0,0,0.075,0.015,0.08,0.04,0,0,0,0,0.11,0.03,0,0,0.4675,-0.135
"77","TD1021001634",0.66,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Non","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Très faible","Non","Actifs reçus de l'OIM","Oui",0.75,0.75,0,0.75,1,0,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0,0,0.075,0.015,0.08,0.04,0,0,0,0,0.11,0.03,0,0,0.4675,-0.1925
"78","TN1021003037",0.6325,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Bien","Non","Aucun actif détenu","Non",0.75,0.75,1,0.75,1,0.75,0,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.0975,0.0225,0,0,0,0,0.13,0.03,0.665,0.0325000000000001
"79","TN1021003043",0.7425,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)",NA,"Faible","Non","Aucun actif détenu","Non",0.75,0.75,1,0.75,0.5,0.25,0,0,1,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.04,0.02,0.0325,0.0075,0,0,0,0,0.13,0.03,0.56,-0.1825
"80","TN1021003122",0.5025,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Aucun actif détenu","Oui",0.75,0.75,1,0.75,1,0.5,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0,0,0,0,0.5025,0
"81","TN1021003440",0.7425,"Satisafait","Rarement( Une fois le mois ou pas tous les mois)","Oui","Rarement( Une fois le mois ou pas tous les mois)","Les dépenses sont plus importantes","Acceptable","Non","Aucun actif détenu","Oui",0.75,0.75,1,0.75,1,0.5,0,0,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0.09,0.06,0.08,0.02,0.075,0.015,0.08,0.04,0.065,0.015,0,0,0,0,0,0,0.5025,-0.24
"82","TN1021003283",0.48,"Satisafait","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Oui","Très souvent ( plusieurs fois dans la semaine/chaque jours)","Les dépenses sont plus importantes","Bien","Non","Terre Bétails Actifs reçus de l'OIM","Oui",0.75,0,1,0,1,0.75,0,1,0,0.15,0.05,0.12,0.08,0.08,0.02,0.1,0.02,0.08,0.04,0.13,0.03,0.1,0.03,0.11,0.03,0.13,0.03,0.1125,0.0375,0,0,0.08,0.02,0,0,0.08,0.04,0.0975,0.0225,0,0,0.11,0.03,0,0,0.48,0
