"","Code Mimosa Corrigé","Difference"
"1","NE1022X001430",-0.0916666666666666
"2","CH1022X000306",0.035
"3","CH1022X000306",0.1775
"4","CH1022X000307",0.035
"5","CH1022X000328",0.035
"6","CH1022X000329",0.035
"7","CH1022X000337",0.035
"8","CH1022X000634",0.035
"9","CH1022X000635",0.0349999999999999
"10","CH1022X000640",-0.1425
"11","CH1022X001055",0.035
"12","CH1022X001452/EUTFGIN25201",0.035
"13","CH1022X001480",0.035
"14","CH1022X001811X1",0.035
"15","CH1022X001825X1",0.035
"16","CH1022X001829X1",0.035
"17","CH1022X001844X1",0.0349999999999999
"18","CH1022X001878X1",0.035
"19","CH1022X002046",0.035
"20","CH1022X002238X1",0.035
"21","CH1022X002258X1",0.035
"22","CH1022X002280X1",0.035
"23","CH1022X002292X1",0.035
"24","CH1022X002307X1",0.035
"25","CH1022X002333X1",0.035
"26","CH1022X002556X1",0.035
"27","CH1022X002558X1",0.035
"28","CH1022X002567X1",0.035
"29","CH1022X002580X1",0.035
"30","CH1022X002597X1",0.035
"31","CH1022X002597X1",0.065
"32","CH1022X002598X1",0.035
"33","CH1022X002608X1",0.0349999999999999
"34","CH1022X002683X1",0.035
"35","CH1022X002685X1",0.035
"36","CH1022X002732X10",0.035
"37","CH1022X002737X1",0.035
"38","CH1022X002744X1",0.035
"39","CH1022X002766X1",0.0349999999999999
"40","CH1022X002946X1",0.035
"41","CH1022X002986X1",0.035
"42","CH1022X002998X1",0.035
"43","CH1022X003006X1",0.035
"44","CH1022X003007X1",0.035
"45","CH1022X003041X1",0.0350000000000001
"46","CH1022X003113X1",0.035
"47","CH1022X003139X1",0.035
"48","CH1022X003200X1",0.035
"49","CH1022X003235X1",0.035
"50","CH1022X003789X1",0.035
"51","CH1022X003790X1",0.0350000000000001
"52","CH1022X003790X1",0.0350000000000001
"53","CH1022X003796X1",0.0349999999999999
"54","CH1022X003853X1",0.035
"55","CH1022X003864X1",0.035
"56","CH1022X004536X1",0.035
"57","CH1022X004572X1",0.035
"58","CH1022X004577X1",0.0350000000000001
"59","CH1022X004587X1",0.0349999999999999
"60","CH1022X004626X1",0.035
"61","CH1022X004632X1",0.035
"62","CH1022X004656X1",0.0349999999999999
"63","CH1022X008017X1",0.035
"64","CH1022X008056X1",0.035
"65","CH1022X008060X1",0.0349999999999999
"66","CH1022X008092X1",0.035
"67","CH1022X008097X1",0.035
"68","CH1022X008522X1",0.0349999999999999
"69","CH1022X008524X1",0.035
"70","CH1022X008534X1",0.035
"71","CH1022X008542X1",0.0349999999999999
"72","CH1022X008561X1",0.0349999999999999
"73","CH1022X008620X1",0.035
"74","CH1022X008650X1",0.035
"75","CH1022X008657X1",0.035
"76","CH1022X008834X1",0.035
"77","CH1022X008905X1",0.035
"78","CH1022X008924X1",0.035
"79","CH1022X008929X1",0.035
"80","CH1022X012000X1",0.035
"81","CH5019X026317X1",0.156666666666667
"82","CH5019X026318X1",0.1075
"83","CH5020X003145",0.0349999999999999
"84","CH5021X011437X1",0.035
"85","CH5021X011438X1",0.0349999999999999
"86","CH5021X011478X1",0.035
"87","CH5021X011688",0.035
"88","CH5021X011691",0.0349999999999999
"89","CH5021X011698",0.035
"90","CH5021X011764X1",0.035
"91","CH5021X011824X1",0.035
"92","CH5021X011846X1",0.035
"93","CH5021X011871",0.035
"94","CH5021X011873",0.035
"95","CH5021X011885",0.035
"96","CH5021X011921",0.035
"97","CH5021X011941",0.035
"98","CH5021X012196X1",0.035
"99","CH5021X012203X1",0.035
"100","CH5021X012283",0.0533333333333333
"101","CH5021x012283",-0.01
"102","CH5021X012296",-0.0483333333333331
"103","CH5021X012298",0.120833333333333
"104","CH5021X012481X1",0.035
"105","CH5021X012655",0.0349999999999999
"106","CH5021X012668",0.035
"107","CH5021X012704",0.035
"108","CH5021X012748",0.035
"109","CH5021X013241",0.0349999999999999
"110","CH5021X013337",0.0349999999999999
"111","CH5021X013397",0.035
"112","CH5021X013412",0.0349999999999999
"113","CH5021X013415",0.0349999999999999
"114","CH5021X013417",0.035
"115","CH5021X013418",0.0350000000000001
"116","CH5021X013437",0.035
"117","CH5021X013444",0.035
"118","CH5021X013479",0.0491666666666668
"119","CH5021X013482",0.0350000000000001
"120","CH5021X013493",0.035
"121","CH5021X013502",0.0350000000000001
"122","CH5021X014685",0.035
"123","CH5021X014759",0.035
"124","CH5021X014951",0.0349999999999999
"125","CH5021X015031",0.035
"126","CH5021X015039",0.035
"127","CH5021X015050",0.035
"128","CH5022X000306",0.035
"129","CH5022X000319",0.0349999999999999
"130","CH5022X000370",0.035
"131","CH5022X000434",0.0349999999999999
"132","CH5022X000435",0.0349999999999999
"133","CI1021001184",0.0349999999999999
"134","DZ1021002372",0.035
"135","DZ1021003428",0.251666666666667
"136","DZ1021003429",0.228333333333333
"137","DZ1021004747",0.035
"138","DZ1021005628",0.035
"139","DZ1021005671",0.318333333333333
"140","DZ1021005722",0.0349999999999999
"141","DZ1021005727",0.035
"142","DZ1021006698",0.035
"143","DZ1021006957",0.035
"144","DZ1021007019",0.0349999999999999
"145","DZ1021007045",0.035
"146","DZ1021007093",-0.0349999999999999
"147","DZ1021007276",0.0349999999999999
"148","DZ1021007278",0.035
"149","DZ1021008059",0.0558333333333333
"150","DZ102107F17DFA068E",0.0349999999999999
"151","DZ10212F261AE738CF",0.035
"152","DZ1021547C12F53ED5",0.035
"153","DZ10215A0C72D5185C",0.0650000000000002
"154","DZ1021689F23E4647F",0.035
"155","DZ1021C9D4E2775F0B",0.035
"156","DZ1022001202",0.035
"157","DZ1022001341",0.035
"158","DZ1022002388",0.035
"159","DZ102268A01A812AFD",0.0350000000000001
"160","GM10212C46DE86FC26",0.035
"161","GM102193F739A1794A",0.035
"162","GM1021X000788",0.035
"163","GM1021X000789",0.0349999999999999
"164","GM1022001098",-0.035
"165","GM1022001098",-0.1225
"166","GM1022001108",-0.0616666666666668
"167","GM1022001170",0.035
"168","GM1022001170",0.0308333333333334
"169","LY1021008343",0.035
"170","MA1021005021",0.035
"171","LY1019007852",0.035
"172","LY1020001291",0.035
"173","LY1021001397",0.0349999999999999
"174","TD1021001484",0.0349999999999999
"175","LY1021004097",0.0349999999999999
"176","LY1021004171",-0.0033333333333333
"177","LY1021004109",-0.186666666666667
"178","Ly1021004136",0.035
"179","Ly1021004200",0.0349999999999999
"180","Ly1021004205",0.0350000000000001
"181","Ly1021004206",-0.0299999999999998
"182","LY1021004212",0.0583333333333333
"183","Ly1021004228",0.0349999999999999
"184","Ly1021004235",0.133333333333333
"185","Ly1021004279",0.0350000000000001
"186","Ly1021004279",0.0375000000000001
"187","Ly1021004279",0.18
"188","LY1021004285",-0.0208333333333333
"189","LY1021005087",0.0349999999999999
"190","LY1021006649",0.0349999999999999
"191","LY1021006649",0.103333333333333
"192","LY1021008004",0.0350000000000001
"193","LY1021008010",0.0350000000000001
"194","LY1021008068",-0.0641666666666667
"195","LY1021008084",-0.0675000000000001
"196","LY1021008098",0.0349999999999999
"197","LY1021008115",0.0349999999999999
"198","LY1021008166",0.1175
"199","LY1021008199",0.0349999999999999
"200","LY1021008280",0.0349999999999999
"201","Ly1021008536",0.0349999999999999
"202","LY1021008619",0.0633333333333335
"203","LY1021008623",-0.0533333333333335
"204","LY1021008639",0.035
"205","LY1021009043",0.035
"206","LY1021009010",0.035
"207","Ly1021009108",0.0791666666666666
"208","LY1021009596",0.0458333333333333
"209","LY1021009682",0.0566666666666667
"210","LY102100997",0.0350000000000001
"211","LY1021010679",-0.0475
"212","LY1021011878",0.035
"213","LY1021011937",0.0349999999999999
"214","LY10218D599BA783F0",0.035
"215","LY1021D2B045B392BA",0.0349999999999999
"216","LY1021ED7F1CF468A1",0.0349999999999999
"217","LY1022001225",0.0333333333333333
"218","LY1022001497",-0.1025
"219","Ly1022001512",0.00249999999999995
"220","Ly1022001522",0.0349999999999999
"221","LY1022001666",0.035
"222","LY1022001726",0.035
"223","LY1022002131",0.0349999999999999
"224","LY1022002133",0.0816666666666667
"225","LY1022002148",0.0349999999999999
"226","LY1022002147",0.0374999999999999
"227","LY1022002153",0.0349999999999999
"228","LY1022002162",0.0349999999999999
"229","LY1022002233",0.308333333333333
"230","LY1022002301",-0.244166666666667
"231","LY1022002461",0.0349999999999999
"232","LY1022002477",0.035
"233","LY1022002520",-0.0183333333333333
"234","LY1022002537",0.035
"235","Ly1022002550",0.0350000000000001
"236","LY1022002948",0.035
"237","LY1022003542",0.1325
"238","LY1022003551",0.0350000000000001
"239","LY1022003564",0.035
"240","LY1022003611",0.0349999999999999
"241","LY1022003675",0.035
"242","LY1022003675",-0.0166666666666667
"243","LY1022003747",0.0908333333333335
"244","LY1022003792",0.0908333333333333
"245","LY1022003805",0.035
"246","LY1022003871",0.035
"247","LY1022003896",0.035
"248","LY1022003975",0.035
"249","LY1022003987",0.0350000000000001
"250","LY1022003996",0.035
"251","LY1022003996",0.0233333333333334
"252","LY1022004033",0.035
"253","LY1021004104",0.0349999999999999
"254","LY1022005127",0.035
"255","LY1022005127",0.1925
"256","LY1022005382",0.035
"257","LY1022005499",0.0349999999999999
"258","Ly1022005728",0.035
"259","Ly1022005738",0.0350000000000001
"260","LY1022007980",0.035
"261","LY1022010484",0.035
"262","LY1022011502",0.035
"263","LY1022423FBAA84596",0.035
"264","LY1022F230F1AA057B",0.035
"265","LY1021004097",0.0349999999999999
"266","BF1022001030",0.035
"267","MA1019001132",0.035
"268","MA1020003834",0.0349999999999999
"269","MA1021001989",0.0350000000000001
"270","MA1021003470",0.0516666666666667
"271","MA1021003554",0.0350000000000001
"272","MA1021004440",0.035
"273","MA1021004511",0.035
"274","MA1021004668",0.035
"275","MA1021004757",0.0349999999999999
"276","MA1021004955",0.035
"277","Ma1021005091",-0.0283333333333332
"278","MA1021005127",0.0349999999999999
"279","MA1021005441",0.035
"280","MA1021005456",0.035
"281","MA1021348893C4C4B8",0.0349999999999999
"282","MA10214F75C67F336F",0.035
"283","MA10215341CB8B0A55",0.0349999999999999
"284","MA102184A8B9CFA158",0.0350000000000001
"285","MA1021B85BC821095F",0.035
"286","MA1021C7FC8D9F2DBC",0.035
"287","MA1021E0290815A169",0.035
"288","MA1021F39A4B183E33",0.035
"289","MA1022001187",0.035
"290","MA1022001187",0.305833333333333
"291","MA1022001314",0.035
"292","MA1022001424",0.0349999999999999
"293","MA1022B37C7C67855C",0.0349999999999999
"294","NE1022X004336",0.0349999999999999
"295","ML1021001885",0.035
"296","ML1021002002",0.035
"297","ML1021002410",0.035
"298","ML1021002420",0.0349999999999999
"299","NE1020X021608",0.0349999999999999
"300","NE10214EC76E2F6F90",0.035
"301","NE1021X002155",0.035
"302","NE1021X051534",0.035
"303","NE1021X051726",0.035
"304","NE1021X051728",0.035
"305","NE1021X051728",-0.0825
"306","NE1021X051730",0.0658333333333335
"307","NE1021X051731",0.035
"308","NE1021X051770X1",0.0349999999999999
"309","NE1021X051771X1",0.0349999999999999
"310","NE1021X051822",0.0349999999999999
"311","NE1021X051823",0.035
"312","NE1021X051842",-0.0541666666666666
"313","NE1021X053471X1",0.035
"314","NE1021X053475",0.035
"315","NE1021X053499X1",0.0350000000000001
"316","NE1021X053546X1",0.0349999999999999
"317","NE1022001100",0.035
"318","NE1022001129",0.035
"319","NE1022001129",-0.0975000000000001
"320","NE1022001316",0.0358333333333334
"321","NE1022001316",0.0650000000000001
"322","NE1022001358",-0.0875
"323","NE1022001358",-0.0841666666666667
"324","NE1022X000210",0.035
"325","NE1022X000210",0.208333333333333
"326","NE1022X000253",0.0349999999999999
"327","NE1022X000254",0.0350000000000001
"328","NE1022X000842",0.035
"329","NE1022X000846",0.186666666666667
"330","NE1022X000871",0.035
"331","NE1022X001046",0.0349999999999999
"332","NE1022X001117",0.035
"333","NE1022X001118",0.035
"334","NE1022X001122",0.0349999999999999
"335","NE1022X001122",0.144166666666667
"336","NE1022X001329",0.035
"337","NE1022X001336",0.0349999999999999
"338","NE1022X001339",-0.123333333333333
"339","NE1022X001350",0.035
"340","NE1022X001454",0.0349999999999999
"341","NE1022X001661",0.0350000000000001
"342","NE1022X001665",0.035
"343","NE1022X001989",0.035
"344","NE1022X001992",0.035
"345","NE1022X001996",0.035
"346","NE1022X002183",0.035
"347","NE1022X002207X1",0.035
"348","NE1022X002219X1",0.035
"349","NE1022X002343",0.035
"350","NE1022X002357",0.035
"351","NE1022X002365",0.0349999999999999
"352","NE1022X002397",0.0349999999999999
"353","NE1022X002409",0.035
"354","NE1022X002409",0.0558333333333334
"355","NE1022X002626",-0.0558333333333334
"356","NE1022X002652",0.035
"357","NE1022X002754",0.035
"358","NE1022X003003",0.0858333333333334
"359","NE1022X003313",0.0349999999999999
"360","NE1022X003621",0.0441666666666667
"361","NE1022X004298",0.0883333333333333
"362","NE1022X004345",-0.121666666666667
"363","NE1022X004371",0.035
"364","NE1022X004425",0.0349999999999999
"365","NE1022X004753X1",0.035
"366","-",0.0349999999999999
"367","SD1018001251",0.035
"368","SN1022001064",-0.035
"369","TD1021001485",0.0608333333333333
"370","TD1021001500",-0.1375
"371","TD1021001634",0.0433333333333332
"372","TD1021001634",-0.0408333333333335
"373","TN1021001628",0.035
"374","TN1021001674",0.035
"375","TN1021002058",0.035
"376","TN1021002187",0.035
"377","TN1021002252",0.035
"378","TN1021002342",0.035
"379","TN1021002404",0.0349999999999999
"380","TN1021002563",0.0350000000000001
"381","TN1021002592",0.035
"382","TN1021002873",0.035
"383","TN1021002921",0.035
"384","TN1021002956",0.035
"385","TN1021002961",0.035
"386","TN1021002980",0.0349999999999999
"387","TN1021002995",0.0349999999999999
"388","TN1021003037",-0.0141666666666667
"389","TN1021003043",-0.0333333333333333
"390","TN1021003122",0.0575
"391","TN1021003283",0.035
"392","TN1021003383",0.0349999999999999
"393","TN1021003627",0.035
"394","TN1022001258",0.0349999999999999
"395","TN1022001706",0.0349999999999999
"396","TN1022001814",0.0350000000000001
